Codename,Model,Date,KM,Color,PRICE,BTW,Status,EXTRAS
"CATFISH GLH-29-R","Model 3 RWD","Oct/2022","81000","White","25890","","Reserved","MMX PACK"
"GRAPE GM-312-VB KKZ-08-L","Model 3 RWD","Mar/2023","40000","Blue","30890","v","Reserved","MMX PACK"
"WHITE SNOW 2-HK-164","Model 3 Highland","Feb/2025","34000","White","37980","","Available for test drive","MMX PACK + WHITE INTERIOR"
"ZULU 8605 GS-937-HK KND-80-N","Model 3 Highland","Nov/2023","71000","White","33890","","Available for test drive","MMX PACK"
"TOP GUN Z-514-HG","Model 3 Highland","Apr/2024","11000","Grey","39890","v","Available for test drive","MMX PACK"
"PYRO HRK-31-V","Model 3 Highland","Jun/2025","24000","Black","38890","","Available for test drive","MMX PACK"
"BAGUETTE","Model 3 Highland","May/2025","28000","Black","38890","","Available for test drive","MMX PACK"
"WHITE KING GX-784-JG","Model 3 Highland","Jun/2024","27000","White","37890","","Coming within one week","MMX PACK"
"TANGO","Model 3 Highland","Oct/2023","44000","White","35890","","Reserved","MMX PACK + WHITE INTERIOR"
"PANNA COTTA X-901-GR","Model 3 Highland","Nov/2023","37000","White","36890","","Reserved","MMX PACK"
"ORANGE X-937-TV","Model 3 Highland","Feb/2024","24000","Red","37890","","Reserved","MMX PACK"
"QUANTUM HTV-33-Z","Model 3 Highland","Jun/2025","41000","Quicksilver Grey","38890","v","Reserved","MMX PACK"
"GEISHA GV-128-RN KKZ-15-L","Model 3 Highland","Mar/2024","44000","Grey","36890","","Reserved","MMX PACK + TREKHAAK"
"DYNAMO HGP-16-H","Model 3 Highland","Feb/2025","15000","Grey","38890","","Reserved","MMX PACK"
"MACCHIATO GY-444-PT  KJP-66-V","Model 3 Highland","Aug/2024","38000","Black","36890","","Reserved","MMX PACK + WHITE INTERIOR"
"ARMSTRONG 5180 KLJ-22-H","Model 3 Long Range RWD","Feb/2023","47000","Black","34890","","Available for test drive","MMX PACK"
"ATLAS T-561-RD","Model 3 Long Range RWD","Aug/2023","47000","Black","34890","","Available for test drive","MMX PACK"
"THE ANCIENT G-002-XB","Model 3 Performance","Dec/2019","143000","White","22890","","Available for test drive","MMX PACK + CHROME DELETE + TINTED WINDOWS"
"LANCELOT P-672-JR","Model 3 Performance","Jun/2021","110000","Black","27890","","Available for test drive","MMX PACK"
"TOFU GL-293-AX KKZ-14-H","Model Y RWD","Dec/2022","101000","White","29890","","Available for test drive","MMX PACK"
"INDIUM X-308-TD","Model Y RWD","Jan/2024","20000","Blue","37890","","Available for test drive","MMX PACK"
"FISH GR-576-MQ 9766","Model Y RWD","Jan/2023","60000","Blue","34890","","Available for test drive","MMX PACK"
"DEADSHOT Z-441-BR","Model Y RWD","Feb/2024","23000","Black","37890","","Available for test drive","MMX PACK"
"CRAB GZ-014-EX KKT-47-G","Model Y RWD","Sep/2024","39000","Black","37890","","Available for test drive","MMX PACK + HW4"
"SANTIAGO T-013-VP","Model Y RWD","Sep/2023","84000","Black","33890","","Available for test drive","MMX PACK + BLACK SATIN WRAP"
"RAYCAST GJS-01-G","Model Y RWD","Sep/2024","47000","Black","37890","","Available for test drive","MMX PACK + HW4"
"LUXOR GS-228-JJ","Model Y RWD","Nov/2023","47000","White","34890","","Coming within one week","MMX PACK"
"PIXEL GQ-651-TV","Model Y RWD","Aug/2023","33000","Black","35890","","Coming within two weeks","MMX PACK"
"DONUT HA-192-FX KKB-01-H","Model Y RWD","Jul/2024","35000","White","33890","","Reserved","MMX PACK + HW4"
"CLAUDE GZ-414-FS KJL-06-L","Model Y RWD","Sep/2024","85000","White","34890","","Reserved","MMX PACK + HW4"
"BOSSA NOVA 2-FNL-765 KKT-50-G","Model Y RWD","Jun/2024","35000","Black","36890","","Reserved","MMX PACK"
"DARK SOUL GN-955-CK KHL-12-J","Model Y RWD","Mar/2023","60000","Black","33890","","Reserved","MMX PACK"
"MAGNETO   KKT-52-G","Model Y Long Range RWD","Sep/2024","74000","Quicksilver Grey","39890","","Available for test drive","MMX PACK + HW4"
"STARFISH GX-282-LK KND-24-R","Model Y Long Range RWD","May/2024","54000","Blue","41890","","Available for test drive","MMX PACK"
"GALACTIC HC-152-FR KLB-98-X","Model Y Long Range RWD","Mar/2025","39000","White","43890","","Reserved","MMX PACK + HW4"
"JELLY GZ-860-RV KJS-01-V","Model Y Long Range RWD","Oct/2024","61000","White","39890","","Reserved","MMX PACK + HW4"
"SILVERBOX GX-608-AG KLL-71-V","Model Y Long Range RWD","May/2024","47000","Quicksilver Grey","40890","","Reserved","MMX PACK"
"MONDAY KND-78-N","Model Y Long Range RWD","Sep/2024","29000","Cherry Red","42890","","Reserved","MMX PACK + HW4"
"JUICY GW-734-TT KJF-56-F","Model Y Long Range RWD","Jun/2024","60000","Cherry Red","40890","","Reserved","MMX PACK"
"LEVIATHAN HB-483-SL KLS-31-X","Model Y Long Range RWD","Mar/2025","23000","Blue","44890","","Reserved","MMX PACK + HW4+TREKHAAK"
"BLUE ROSE GY-487-LB  KJL-59-K","Model Y Long Range RWD","Jul/2024","58000","Blue","40890","","Reserved","MMX PACK + HW4"
"TRUFFEL GZ-164-ZQ KLK-78-G","Model Y Long Range RWD","Oct/2024","54000","Black","41890","v","Reserved","MMX PACK + HW4"
